xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
0.64,0.91,0.65,0.91,0.65,0.91,0.63,0.87,0.64,0.87,0.66,0.87,0.73,0.87,0.74,0.87,0.74,0.87,0
0.64,0.91,0.65,0.91,0.65,0.91,0.63,0.87,0.64,0.87,0.66,0.87,0.73,0.18,0.73,0.18,0.73,0.18,0
0.05,0.84,0.06,0.84,0.06,0.84,0.05,0.79,0.06,0.79,0.07,0.79,0.05,0.78,0.06,0.78,0.06,0.78,1
0.08,0.83,0.08,0.83,0.08,0.83,0.07,0.77,0.08,0.77,0.08,0.77,0.08,0.77,0.08,0.77,0.09,0.77,1
0.08,0.83,0.08,0.83,0.08,0.83,0.07,0.77,0.08,0.77,0.08,0.77,0.06,0.77,0.07,0.77,0.07,0.77,1
0.10,0.84,0.10,0.84,0.10,0.84,0.09,0.77,0.10,0.77,0.11,0.77,0.10,0.77,0.10,0.77,0.11,0.77,1
0.15,0.84,0.15,0.84,0.16,0.84,0.14,0.77,0.15,0.77,0.16,0.77,0.15,0.77,0.15,0.77,0.16,0.77,1
0.80,0.84,0.80,0.84,0.81,0.84,0.80,0.77,0.81,0.77,0.83,0.77,0.82,0.77,0.82,0.77,0.83,0.77,1
0.80,0.84,0.80,0.84,0.81,0.84,0.80,0.77,0.81,0.77,0.83,0.77,0.79,0.77,0.79,0.77,0.80,0.77,1
0.79,0.84,0.80,0.84,0.80,0.84,0.79,0.77,0.79,0.77,0.80,0.77,0.78,0.77,0.78,0.77,0.79,0.77,1
0.44,0.82,0.44,0.82,0.44,0.82,0.43,0.77,0.44,0.77,0.45,0.77,0.44,0.77,0.44,0.77,0.45,0.77,1
0.33,0.83,0.34,0.83,0.34,0.83,0.32,0.77,0.33,0.77,0.35,0.77,0.33,0.77,0.33,0.77,0.34,0.77,1
0.13,0.83,0.13,0.83,0.14,0.83,0.12,0.77,0.13,0.77,0.14,0.77,0.12,0.77,0.12,0.77,0.13,0.77,1
0.58,0.83,0.58,0.83,0.59,0.83,0.58,0.77,0.58,0.77,0.59,0.77,0.58,0.77,0.58,0.77,0.59,0.77,1
0.56,0.83,0.57,0.83,0.57,0.83,0.55,0.77,0.56,0.77,0.58,0.77,0.56,0.77,0.56,0.77,0.57,0.77,1
0.12,0.83,0.12,0.83,0.12,0.83,0.11,0.77,0.12,0.77,0.13,0.77,0.13,0.77,0.13,0.77,0.14,0.77,1
0.47,0.25,0.47,0.25,0.48,0.25,0.47,0.19,0.47,0.19,0.48,0.19,0.47,0.19,0.47,0.19,0.48,0.19,1
0.49,0.25,0.49,0.25,0.49,0.25,0.48,0.19,0.48,0.19,0.49,0.19,0.48,0.18,0.48,0.18,0.49,0.18,1
0.65,0.07,0.66,0.07,0.67,0.07,0.65,0.06,0.66,0.06,0.67,0.06,0.66,0.06,0.66,0.06,0.66,0.06,1
0.80,0.25,0.81,0.25,0.81,0.25,0.80,0.19,0.81,0.19,0.81,0.19,0.80,0.19,0.81,0.19,0.81,0.19,1
0.80,0.25,0.81,0.25,0.81,0.25,0.80,0.19,0.81,0.19,0.81,0.19,0.80,0.17,0.81,0.17,0.81,0.17,1
0.78,0.26,0.78,0.26,0.78,0.26,0.77,0.21,0.78,0.21,0.79,0.21,0.77,0.20,0.78,0.20,0.78,0.20,1
0.78,0.26,0.78,0.26,0.78,0.26,0.77,0.21,0.78,0.21,0.79,0.21,0.77,0.19,0.77,0.19,0.78,0.19,1
0.78,0.26,0.78,0.26,0.78,0.26,0.77,0.21,0.78,0.21,0.79,0.21,0.77,0.17,0.77,0.17,0.78,0.17,1
0.72,0.25,0.72,0.25,0.73,0.25,0.72,0.19,0.72,0.19,0.73,0.19,0.72,0.19,0.72,0.19,0.73,0.19,1
0.72,0.25,0.72,0.25,0.73,0.25,0.72,0.19,0.72,0.19,0.73,0.19,0.73,0.17,0.73,0.17,0.73,0.17,1
0.66,0.25,0.66,0.25,0.66,0.25,0.65,0.19,0.66,0.19,0.67,0.19,0.66,0.19,0.66,0.19,0.66,0.19,1
0.66,0.25,0.66,0.25,0.66,0.25,0.65,0.19,0.66,0.19,0.67,0.19,0.66,0.17,0.66,0.17,0.66,0.17,1
0.79,0.07,0.80,0.07,0.81,0.07,0.78,0.06,0.80,0.06,0.83,0.06,0.80,0.06,0.80,0.06,0.81,0.06,1
